Date,TGD20,D1,model
2023-01-04,0.47944883966374635,0.5205511603362536,B
2023-01-05,0.4763651537567103,0.5236348462432897,B
2023-01-06,0.4746771502057235,0.5253228497942766,B
2023-01-09,0.476761202860404,0.523238797139596,B
2023-01-10,0.47618568926082316,0.5238143107391768,B
2023-01-11,0.4734327372178789,0.5265672627821212,B
2023-01-12,0.4707974723340555,0.5292025276659444,B
2023-01-13,0.4740185857213361,0.5259814142786639,B
2023-01-16,0.4670725060550918,0.5329274939449081,B
2023-01-17,0.4639553384534122,0.5360446615465879,B
2023-01-18,0.46449385356056183,0.5355061464394383,B
2023-01-19,0.45943700759952916,0.5405629924004708,B
2023-01-20,0.4564854040406444,0.5435145959593557,B
2023-01-30,0.4543678174103323,0.5456321825896676,B
2023-01-31,0.45681343562033805,0.543186564379662,B
2023-02-01,0.4503584794132025,0.5496415205867975,B
2023-02-02,0.4502583245341879,0.5497416754658121,B
2023-02-03,0.4474709801470355,0.5525290198529645,B
2023-02-06,0.447601923346186,0.5523980766538139,B
2023-02-07,0.4482776035372629,0.551722396462737,B
2023-02-08,0.4510476814369371,0.5489523185630628,B
2023-02-09,0.454316875588707,0.545683124411293,B
2023-02-10,0.45627818814473575,0.5437218118552644,B
2023-02-13,0.45712247369133147,0.5428775263086685,B
2023-02-14,0.45938982394427325,0.5406101760557268,B
2023-02-15,0.46155882043455415,0.5384411795654458,B
2023-02-16,0.46080815909396056,0.5391918409060394,B
2023-02-17,0.4589067957334817,0.5410932042665183,B
2023-02-20,0.4632986337533365,0.5367013662466635,B
2023-02-21,0.4721066754355798,0.5278933245644202,B
2023-02-22,0.47153938384894506,0.528460616151055,B
2023-02-23,0.4774161196383388,0.5225838803616611,B
2023-02-24,0.4732419584614084,0.5267580415385916,B
2023-02-27,0.47259046546304945,0.5274095345369505,B
2023-02-28,0.4731893072964623,0.5268106927035378,B
2023-03-01,0.4732928723876394,0.5267071276123606,B
2023-03-02,0.4745168540374878,0.5254831459625122,B
2023-03-03,0.4786239498022401,0.52137605019776,B
2023-03-06,0.47208557305992327,0.5279144269400767,B
2023-03-07,0.47759750319406197,0.522402496805938,B
2023-03-08,0.47500009211130406,0.524999907888696,B
2023-03-09,0.47595855186443775,0.5240414481355622,B
2023-03-10,0.47294663193031566,0.5270533680696844,B
2023-03-13,0.4707175191906248,0.5292824808093752,B
2023-03-14,0.4733415195617551,0.5266584804382449,B
2023-03-15,0.4680536405427656,0.5319463594572343,B
2023-03-16,0.4724715779656045,0.5275284220343956,B
2023-03-17,0.4674879164528136,0.5325120835471864,B
2023-03-20,0.46445946224204615,0.535540537757954,B
2023-03-21,0.46547473495328845,0.5345252650467116,B
2023-03-22,0.4627494970497523,0.5372505029502477,B
2023-03-23,0.458191073715376,0.5418089262846238,B
2023-03-24,0.461935111270005,0.5380648887299949,B
2023-03-27,0.4593954523272677,0.5406045476727321,B
2023-03-28,0.46208391688501727,0.5379160831149826,B
2023-03-29,0.4578014645292694,0.5421985354707307,B
2023-03-30,0.45695462095208217,0.5430453790479179,B
2023-03-31,0.4590113631463994,0.5409886368536007,B
2023-04-03,0.4601181854050165,0.5398818145949835,B
2023-04-04,0.45933511692383117,0.5406648830761689,B
2023-04-06,0.4570160498802834,0.5429839501197167,B
2023-04-07,0.4580933009614823,0.5419066990385177,B
2023-04-10,0.4536146991768947,0.5463853008231053,B
2023-04-11,0.45207849699765595,0.547921503002344,B
2023-04-12,0.45219424605270736,0.5478057539472927,B
2023-04-13,0.4504508964527385,0.5495491035472616,B
2023-04-14,0.4511351836319661,0.5488648163680341,B
2023-04-17,0.4469185748301336,0.5530814251698664,B
2023-04-18,0.447658862890473,0.5523411371095269,B
2023-04-19,0.44692662172274067,0.5530733782772593,B
2023-04-20,0.44825895704259033,0.5517410429574097,B
2023-04-21,0.4593223183262039,0.540677681673796,B
2023-04-24,0.4584000886289381,0.5415999113710619,B
2023-04-25,0.45925202823481975,0.5407479717651803,B
2023-04-26,0.4599052324048383,0.5400947675951616,B
2023-04-27,0.45070954786218037,0.5492904521378196,B
2023-04-28,0.4454968355869011,0.5545031644130989,B
2023-05-04,0.4481853482840162,0.5518146517159839,B
2023-05-05,0.44649853529609096,0.553501464703909,B
2023-05-08,0.4494876416570561,0.5505123583429439,B
2023-05-09,0.44833563790692155,0.5516643620930785,B
2023-05-10,0.45162461350076066,0.5483753864992393,B
2023-05-11,0.4461219438251655,0.5538780561748344,B
2023-05-12,0.44501452401646857,0.5549854759835314,B
2023-05-15,0.4452289055994961,0.5547710944005038,B
2023-05-16,0.43736874502850775,0.5626312549714922,B
2023-05-17,0.4304782944900342,0.5695217055099657,B
2023-05-18,0.43586212207775404,0.564137877922246,B
2023-05-19,0.4384715062583318,0.5615284937416681,B
2023-05-22,0.4309478559408268,0.5690521440591731,B
2023-05-23,0.4278570093241479,0.5721429906758522,B
2023-05-24,0.41882564673937883,0.5811743532606213,B
2023-05-25,0.4253789279863612,0.5746210720136388,B
2023-05-26,0.42527451996870996,0.57472548003129,B
2023-05-29,0.42395399078991963,0.5760460092100804,B
2023-05-30,0.4257980839537017,0.5742019160462982,B
2023-05-31,0.42715054924298096,0.572849450757019,B
2023-06-01,0.4256097105567119,0.5743902894432882,B
