Date,TGD20,D1,FlowDensity20,model
2024-02-01,0.3646248151017762,0.449687116637427,0.18568806826079676,C
2024-02-02,0.378570215482925,0.4547692925631077,0.16666049195396726,C
2024-02-05,0.38793334381764144,0.4567627510021277,0.1553039051802308,C
2024-02-06,0.4000392232487319,0.472330569390114,0.12763020736115402,C
2024-02-07,0.4299103978868717,0.47735103018084907,0.09273857193227929,C
2024-02-08,0.44527337898316255,0.48089905791687054,0.07382756309996684,C
2024-02-19,0.4323041700328049,0.4737311598016123,0.09396467016558288,C
2024-02-20,0.4204849892828464,0.48126357116668217,0.09825143955047146,C
2024-02-21,0.42294505704343904,0.48970811415280224,0.08734682880375871,C
2024-02-22,0.40345067146119723,0.4959390133342821,0.10061031520452063,C
2024-02-23,0.3948177366304497,0.4869664560954436,0.1182158072741067,C
2024-02-26,0.3801545459914702,0.4846069363002141,0.1352385177083157,C
2024-02-27,0.36263703303425915,0.47932162525526534,0.15804134171047557,C
2024-02-28,0.351258782372777,0.4734386881310892,0.17530252949613376,C
2024-02-29,0.3689280024070762,0.49512600884792035,0.1359459887450034,C
2024-03-01,0.37985966413156275,0.49231111708260333,0.12782921878583386,C
2024-03-04,0.37867965730305037,0.496193367790645,0.12512697490630478,C
2024-03-05,0.37822217621941456,0.4919621654577289,0.12981565832285655,C
2024-03-06,0.3799352424843685,0.5043932275916164,0.11567152992401501,C
2024-03-07,0.3679712875620535,0.5060407806161746,0.12598793182177193,C
2024-03-08,0.36600096401016635,0.5124479297840075,0.1215511062058261,C
2024-03-11,0.37181469738004813,0.5122874610897643,0.11589784153018758,C
2024-03-12,0.35645780356182766,0.5127773972011996,0.13076479923697276,C
2024-03-13,0.3363294707874088,0.5010905415559496,0.16257998765664144,C
2024-03-14,0.3326995857284974,0.49533757084819335,0.17196284342330925,C
2024-03-15,0.3257502717875853,0.499223455884793,0.17502627232762175,C
2024-03-18,0.3225395739421104,0.5033716244529393,0.1740888016049504,C
2024-03-19,0.32337391843366836,0.49662423571453757,0.18000184585179405,C
2024-03-20,0.32598110481555187,0.4866907491460785,0.18732814603836953,C
2024-03-21,0.32232094968237357,0.47738715282430083,0.20029189749332568,C
2024-03-22,0.33347858264611246,0.4735387207217207,0.1929826966321668,C
2024-03-25,0.3416082714090234,0.4711890466479694,0.18720268194300727,C
2024-03-26,0.3439398725984749,0.48420670095766344,0.17185342644386153,C
2024-03-27,0.3381872592379374,0.4739326929664117,0.18788004779565085,C
