Date,selected_adv20_cny,two_way_turnover,selected_names
2022-10-10,39264446187.05,0.34689507494646676,466
2022-10-11,37841831968.9,0.3390557939914163,466
2022-10-12,37239769512.4,0.32188841201716734,466
2022-10-13,35593174592.35,0.3126338329764453,467
2022-10-14,34677211316.05,0.3511777301927195,466
2022-10-17,34921159134.3,0.3476394849785408,466
2022-10-18,35457744082.3,0.3476394849785408,465
2022-10-19,35755249942.95,0.3390557939914163,466
2022-10-20,29620946473.15,0.28755364806866957,466
2022-10-21,29407200781.950005,0.3047210300429185,466
2022-10-24,33158517984.800003,0.351931330472103,466
2022-10-25,35490592603.45,0.25751072961373395,466
2022-10-26,35438952120.15,0.3254817987152034,467
2022-10-27,45099064976.7,0.3811563169164882,466
2022-10-28,37072512728.85,0.351931330472103,466
2022-10-31,39723486559.9,0.2918454935622318,466
2022-11-01,42595088528.0,0.32618025751072965,465
2022-11-02,37141755335.450005,0.356989247311828,465
2022-11-03,38626664597.7,0.3139784946236559,465
2022-11-04,39685985888.5,0.34408602150537637,465
2022-11-07,44229148418.6,0.34838709677419355,465
2022-11-08,43239918505.649994,0.3605150214592275,466
2022-11-09,43769104916.600006,0.3004291845493562,466
2022-11-10,48139137392.899994,0.3304721030042918,466
2022-11-11,45568556286.75,0.3090128755364807,466
2022-11-14,44795018451.15,0.329059829059829,468
2022-11-15,43125588518.75,0.3461538461538462,468
2022-11-16,46403660949.9,0.3632478632478633,468
2022-11-17,49555045499.25,0.30341880341880345,468
2022-11-18,43948475096.350006,0.3076923076923077,468
2022-11-21,43466832301.5,0.3418803418803419,468
2022-11-22,44246957994.899994,0.3504273504273504,468
2022-11-23,43663445928.05,0.2777777777777778,468
2022-11-24,40092721065.6,0.3240938166311301,469
2022-11-25,40557070390.25,0.30277185501066095,469
2022-11-28,39390550921.2,0.3276595744680851,470
2022-11-29,45242959650.85,0.3021276595744681,470
2022-11-30,45439697440.75,0.348936170212766,470
2022-12-01,45808455770.95,0.356687898089172,471
2022-12-02,45929830279.65,0.3312101910828026,471
2022-12-05,43274804268.25,0.3184713375796179,471
2022-12-06,45896144585.85,0.30573248407643316,471
2022-12-07,44886351871.7,0.32271762208067944,471
2022-12-08,45625555316.25,0.3609341825902336,471
2022-12-09,45384485121.700005,0.3439490445859873,471
2022-12-12,50501493677.74999,0.386411889596603,471
2022-12-13,44872709779.5,0.34819532908704887,471
2022-12-14,45036840109.350006,0.38983050847457623,472
2022-12-15,44531605957.600006,0.3305084745762712,472
2022-12-16,43808140283.0,0.3340380549682875,473
2022-12-19,41329465356.2,0.37632135306553915,473
2022-12-20,41210666663.649994,0.3213530655391121,473
2022-12-21,40225060428.25,0.2911392405063292,474
2022-12-22,39734644985.2,0.26160337552742613,474
2022-12-23,37925460453.75,0.30801687763713076,474
2022-12-26,42382559995.649994,0.2742616033755274,474
2022-12-27,42653476270.5,0.29957805907172996,474
2022-12-28,44507688490.25,0.34177215189873417,474
2022-12-29,39986738459.35,0.3242105263157894,475
2022-12-30,40393501821.25,0.3025210084033614,476
2023-01-03,43654951002.799995,0.3067226890756303,476
2023-01-04,41420435431.75,0.34033613445378147,476
2023-01-05,34615655964.45,0.3025210084033614,475
2023-01-06,32703052543.35,0.32842105263157895,475
2023-01-09,37490633671.5,0.28210526315789475,475
2023-01-10,32746145217.3,0.29473684210526313,475
2023-01-11,33180482967.25,0.29473684210526313,475
2023-01-12,33946571943.100002,0.3445378151260504,476
2023-01-13,28078374426.199997,0.31932773109243695,475
2023-01-16,27009854302.899998,0.3368421052631579,475
2023-01-17,27693656301.5,0.35368421052631577,475
2023-01-18,28434439258.95,0.29894736842105263,475
2023-01-19,28920997001.4,0.29894736842105263,475
2023-01-20,29159551013.350002,0.25684210526315787,475
2023-01-30,36320306354.7,0.32421052631578945,475
2023-01-31,31317969248.4,0.25684210526315787,475
2023-02-01,31439450323.65,0.29052631578947363,474
2023-02-02,31622092452.1,0.3291139240506329,474
2023-02-03,32413722153.7,0.28270042194092826,474
2023-02-06,33292669819.85,0.34599156118143454,474
2023-02-07,32397832143.800003,0.28691983122362863,474
2023-02-08,32467155201.950005,0.2989473684210526,475
2023-02-09,39253869322.55,0.31092436974789917,476
2023-02-10,37809490425.25,0.32773109243697474,476
2023-02-13,37779459700.1,0.2857142857142857,476
2023-02-14,44620212986.7,0.2976939203354297,477
2023-02-15,41186525167.899994,0.28511530398322843,476
2023-02-16,48655701688.149994,0.3025210084033613,476
2023-02-17,49335996844.8,0.3186582809224318,477
2023-02-20,55688806282.25,0.3060796645702306,477
2023-02-21,47256315518.3,0.3389121338912135,478
2023-02-22,46889344908.25,0.2594142259414227,477
2023-02-23,46210753047.700005,0.31380753138075324,478
2023-02-24,44507207905.4,0.2970711297071129,478
2023-02-27,42051839049.9,0.31315240083507306,479
2023-02-28,44318530344.399994,0.3382045929018789,479
2023-03-01,45744235223.100006,0.3124999999999999,480
2023-03-02,48636406005.3,0.3492723492723492,481
2023-03-03,49459609856.6,0.3319502074688797,482
2023-03-06,48600757138.5,0.2821576763485477,482
2023-03-07,52579269835.850006,0.32365145228215775,482
2023-03-08,50586406794.649994,0.3278008298755187,482
2023-03-09,48740751959.59999,0.2815734989648032,483
2023-03-10,50375793905.350006,0.37681159420289856,483
2023-03-13,49338954763.450005,0.32712215320910976,483
2023-03-14,52017264431.95,0.3553719008264463,484
2023-03-15,52044304867.95,0.33884297520661155,484
2023-03-16,50927176612.850006,0.35876288659793815,485
2023-03-17,54871111193.15,0.32577319587628867,485
2023-03-20,53815020799.25,0.30927835051546393,485
2023-03-21,55253433760.59999,0.32164948453608255,484
2023-03-22,54740153259.55,0.34710743801652894,484
2023-03-23,51031129487.35,0.30578512396694213,484
2023-03-24,54371436923.1,0.32577319587628867,485
2023-03-27,53567547830.3,0.2515463917525773,485
2023-03-28,56274010310.200005,0.24742268041237114,485
2023-03-29,53309004875.399994,0.29690721649484536,484
2023-03-30,50747092964.649994,0.29690721649484536,485
2023-03-31,48102106805.399994,0.30927835051546393,485
2023-04-03,48937227241.15,0.3134020618556701,485
2023-04-04,46081425657.9,0.34639175257731963,485
2023-04-06,48751658267.700005,0.3134020618556701,485
2023-04-07,49554577412.35,0.3786008230452675,486
2023-04-10,51899665739.05,0.33333333333333337,486
2023-04-11,50738407535.0,0.33333333333333326,485
2023-04-12,48770666072.05,0.28395061728395055,486
2023-04-13,48818565570.15,0.28806584362139914,485
2023-04-14,50220131965.95,0.288659793814433,485
2023-04-17,50860556327.35,0.288659793814433,485
2023-04-18,54627009089.7,0.30515463917525776,485
2023-04-19,52623417033.850006,0.32164948453608255,485
2023-04-20,57142576331.95,0.3587628865979382,485
2023-04-21,53066221902.0,0.35051546391752586,485
