,rank_ic
2024-03-04,0.08218675202963358
2024-03-05,0.13372246246879851
2024-03-06,-0.16135385704586386
2024-03-07,-0.1222301159201943
2024-03-08,-0.004500159173941848
2024-03-11,-0.08343801022396126
2024-03-12,-0.18234344085396456
2024-03-13,-0.10906020758988615
2024-03-14,0.05932184966149111
2024-03-15,-0.047096919616984256
2024-03-18,-0.15410739375714463
2024-03-19,-0.18541963592609684
2024-03-20,-0.21932318115446603
2024-03-21,-0.08830022485160317
2024-03-22,-0.006479858925071738
2024-03-25,0.02451986295732611
2024-03-26,0.0323923555488867
2024-03-27,-0.00029046581794744166
2024-03-28,-0.03365603424820575
2024-03-29,-0.031377269616476175
2024-04-01,-0.025173198159345742
2024-04-02,0.06990515037612563
2024-04-03,0.049275597312108885
2024-04-08,0.029204081045245484
2024-04-09,-0.06431537478278564
2024-04-10,0.006887550773215906
2024-04-11,-0.03851520012024757
2024-04-12,0.013567696183763907
2024-04-15,0.024822035768013607
2024-04-16,0.10082705309850941
2024-04-17,-0.15666607601450844
2024-04-18,0.007001640358980289
2024-04-19,0.08902544422775689
2024-04-22,-0.10560395561997453
2024-04-23,-0.24048619690682246
2024-04-24,-0.1392327609265813
2024-04-25,-0.1298259972879051
2024-04-26,-0.08818308365064946
2024-04-29,-0.17454372788739594
2024-04-30,-0.11443715397563918
2024-05-06,-0.06764081062811385
2024-05-07,-0.0608309519306746
2024-05-08,-0.012040456713377357
2024-05-09,-0.040158537358021995
2024-05-10,0.08311772753888212
2024-05-13,0.17819647186822876
2024-05-14,-0.17472888587746854
2024-05-15,-0.08291735338986292
2024-05-16,-0.1371631039919189
2024-05-17,0.021381243129401147
2024-05-20,-0.10819137022325068
2024-05-21,0.025850280285719944
2024-05-22,0.05770773653913149
2024-05-23,0.006368394817605112
2024-05-24,-0.07951133064590098
2024-05-27,0.0016369991440721282
2024-05-28,-0.008752798947507936
2024-05-29,-0.025816130623202413
2024-05-30,-0.05897043167400222
2024-05-31,-0.15940955790167535
2024-06-03,0.08989650616750575
2024-06-04,0.1159283158673074
2024-06-05,-0.031522873363147165
2024-06-06,0.15640607733321402
2024-06-07,-0.232607662140842
2024-06-11,-0.0003039915625163524
2024-06-12,-0.11571169446314537
2024-06-13,0.05153754114882107
2024-06-14,0.0037202241401456454
2024-06-17,0.10717808854015669
2024-06-18,-0.13659183026643357
2024-06-19,-0.1035668482317009
2024-06-20,0.01810912573078236
2024-06-21,-0.0706505307839273
2024-06-24,0.04194647538279245
2024-06-25,-0.18647552548930293
2024-06-26,-0.12294311646316806
2024-06-27,-0.08630514564244458
2024-06-28,0.06344482267672738
2024-07-01,-0.15637342183919514
2024-07-02,-0.22977617579679588
2024-07-03,-0.09269558220117197
2024-07-04,0.047598299919859886
2024-07-05,-0.1542020256719526
2024-07-08,-0.0193539816674005
2024-07-09,0.22265876455942013
2024-07-10,0.006039215414168827
2024-07-11,-0.0975431990197275
2024-07-12,-0.07280160220800054
2024-07-15,-0.04498858240908486
2024-07-16,0.14100471678009607
2024-07-17,-0.10613363731257583
2024-07-18,-0.10895495582454315
