label,universe,horizon,rank_ic,icir,ic_positive_ratio,mono,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,implied_annu_fee,direction,g10_excess_annu,g10_excess_sharpe,g10_excess_mdd,max_group_or_hl_sharpe,pass_gt_gate,pass_gt_all_group_sharpes,pass_all,n_days,selected_count_mean,universe_count_mean,sharpe_g1,sharpe_g2,sharpe_g3,sharpe_g4,sharpe_g5,sharpe_g6,sharpe_g7,sharpe_g8,sharpe_g9,sharpe_g10,sharpe_gH-L,fig_decile,fig_cum
MA10_mad_clip_ind_cap,ALL,1,0.050578145659780145,14.878620783111195,0.86,0.9999999999999999,0.8207478689513795,11.399215548033933,-0.03746451459182553,1.0507852860112945,0.19702224112711772,1,0.18998655169456918,5.946762109766436,-0.025037005426844717,11.399215548033933,True,False,False,950,467.9011566771819,4653.349106203996,-3.08041432766283,-0.7963394103022805,-0.34894994418080794,-0.13946125199568413,0.139472555922635,0.191699602535454,0.3366745745452169,0.48160686768150257,0.4852504186919821,0.5803998391460438,11.399215548033933,,
MA20_none_raw,ALL,1,0.04999241054499398,7.8737953472051565,0.7157894736842105,0.9999999999999999,0.743703732497526,6.5999956167994585,-0.14958323838161233,0.7023509780349099,0.1316908083815456,1,0.20563788673012937,2.9164529243100286,-0.11469423087647723,6.5999956167994585,False,False,False,950,460.9621451104101,4578.605678233438,-2.5130852560696098,-0.852396161508606,-0.30472232223616785,-0.09034149053838027,0.07399825293434706,0.21919614794573877,0.278917759484082,0.4300840120298741,0.5386775291020449,0.6995424565082051,6.5999956167994585,,
MA20_none_cap,ALL,1,0.05120945315257984,9.70532473244811,0.74,0.9999999999999999,0.7350161766402951,7.845961602399327,-0.04336862662676835,0.7054081674670919,0.13226403140007975,1,0.20153979657305612,4.126194787780039,-0.04404322379144706,7.845961602399327,True,False,False,950,460.7812828601472,4578.605678233438,-2.5554747716918675,-0.9180544035077137,-0.31213485256148976,-0.08747729115214616,0.07877307176120905,0.21232466501473193,0.2557121866214718,0.41144333934071786,0.5578999662937313,0.6648035995934682,7.845961602399327,,
MA20_none_ind,ALL,1,0.04742736522237964,10.245360084779515,0.7768421052631579,0.9999999999999999,0.7169312494133354,8.0134214592977,-0.12141836951600062,0.6992170366304323,0.13110319436820606,1,0.18853243038367726,3.5429040474721827,-0.09419515302116588,8.0134214592977,True,False,False,950,460.6498422712934,4578.605678233438,-2.4859087585248005,-0.7888611347667401,-0.3805861142162083,-0.052546208104973006,0.09991449281034617,0.20552596340679213,0.3153354810150246,0.40709144154048843,0.48454425937764,0.6119932896112893,8.0134214592977,,
MA20_none_ind_cap,ALL,1,0.04813177198826622,12.983195575225304,0.8,0.9999999999999999,0.7160922477885359,9.517307453335578,-0.042060393729000674,0.7013990770298585,0.13151232694309847,1,0.1848305068774381,4.980574365621376,-0.04120383595435833,9.517307453335578,True,False,False,950,460.52891692954785,4578.605678233438,-2.5501696846480453,-0.8245022471687641,-0.3316528601302332,-0.08003309988658107,0.10514780866908022,0.1675254681292291,0.2987607040039348,0.4441366335341692,0.4593461353023908,0.5923688343336074,9.517307453335578,,
MA20_mad_tanh_raw,ALL,1,0.04999241054499398,7.8737953472051565,0.7157894736842105,0.9999999999999999,0.743703732497526,6.5999956167994585,-0.14958323838161233,0.7023509780349099,0.1316908083815456,1,0.20563788673012937,2.9164529243100286,-0.11469423087647723,6.5999956167994585,False,False,False,950,460.9621451104101,4578.605678233438,-2.5130852560696098,-0.852396161508606,-0.30472232223616785,-0.09034149053838027,0.07399825293434706,0.21919614794573877,0.278917759484082,0.4300840120298741,0.5386775291020449,0.6995424565082051,6.5999956167994585,,
MA20_mad_tanh_cap,ALL,1,0.051102075416102545,9.595375415409483,0.7378947368421053,0.9999999999999999,0.7348101759204126,7.877419805262798,-0.03820414181823765,0.7050842837088063,0.13220330319540116,1,0.20011679539494256,4.183687699152373,-0.037787874017602724,7.877419805262798,True,False,False,950,460.74763406940065,4578.605678233438,-2.567810696704559,-0.9097452175881238,-0.3129008927130283,-0.09188679417183168,0.10185868633140135,0.21958328510633068,0.2421037243602672,0.4170803125522942,0.5663158171423464,0.655076225581106,7.877419805262798,,
MA20_mad_tanh_ind,ALL,1,0.04790473985156974,10.167896891686752,0.771578947368421,0.9999999999999999,0.7151053928340754,8.11487199746329,-0.11680027794818992,0.698600357252875,0.13098756698491404,1,0.1892138715736125,3.6546131558235335,-0.09061647621997299,8.11487199746329,True,False,False,950,460.63091482649844,4578.605678233438,-2.471635275428681,-0.8116917148611166,-0.3935114761997827,-0.06385778832808402,0.09701239000315094,0.2125666255113877,0.3202140695397791,0.4158093225825485,0.5088777124104602,0.6140375522190676,8.11487199746329,,
MA20_mad_tanh_ind_cap,ALL,1,0.04854645781754312,12.72255597223524,0.8021052631578948,0.9999999999999999,0.7066149502317879,9.510546322077355,-0.037713325547162224,0.7007537113262546,0.13139132087367272,1,0.18412968624848272,5.215596005764841,-0.03354126822806624,9.510546322077355,True,False,False,950,460.5099894847529,4578.605678233438,-2.509853375179627,-0.8643769005612771,-0.3444395671652592,-0.09502969476327522,0.09411483434619133,0.18556678980165975,0.3343491121845976,0.4295559412470082,0.48773366678015817,0.5856010315502912,9.510546322077355,,
MA20_mad_clip_raw,ALL,1,0.049983732610706724,7.872508830388338,0.7157894736842105,0.9999999999999999,0.743703732497526,6.5999956167994585,-0.14958323838161233,0.7023509780349099,0.1316908083815456,1,0.20563788673012937,2.9164529243100286,-0.11469423087647723,6.5999956167994585,False,False,False,950,460.9621451104101,4578.605678233438,-2.5130852560696098,-0.852396161508606,-0.30472232223616785,-0.09034149053838027,0.07399825293434706,0.21919614794573877,0.278917759484082,0.4300840120298741,0.5386775291020449,0.6995424565082051,6.5999956167994585,,
