date,symbol,prev_close,open,pm_first_time,pm_last_time,pm_first_close,pm_last_close,pm_return
2024-06-04,600714.SH,7.95,7.99,13:01:00,15:00:00,7.9,7.98,0.010126582278481067
2024-06-04,600731.SH,5.05,5.03,13:01:00,15:00:00,4.98,5.05,0.014056224899598346
2024-06-04,600733.SH,7.18,7.05,13:01:00,15:00:00,6.94,7.01,0.010086455331411948
2024-06-05,000001.SZ,11.02,11.04,13:01:00,15:00:00,10.91,10.87,-0.0036663611365720383
2024-06-05,600722.SH,4.1,4.07,13:01:00,15:00:00,4.04,3.97,-0.017326732673267342
2024-06-05,600730.SH,4.41,4.4,13:01:00,15:00:00,4.36,4.32,-0.00917431192660556
2024-06-05,600729.SH,27.48,27.4,13:01:00,15:00:00,27.55,27.25,-0.010889292196007316
2024-06-05,600728.SH,3.93,3.94,13:01:00,15:00:00,3.94,3.92,-0.005076142131979711
2024-06-05,600727.SH,6.92,6.88,13:01:00,15:00:00,6.78,6.73,-0.007374631268436516
2024-06-05,600726.SH,2.24,2.22,13:01:00,15:00:00,2.17,2.16,-0.004608294930875445
2024-06-05,600725.SH,2.95,2.95,13:01:00,15:00:00,2.89,2.88,-0.0034602076124568004
2024-06-05,600724.SH,4.11,4.08,13:01:00,15:00:00,4.01,4.0,-0.0024937655860348684
2024-06-05,600721.SH,5.6,5.57,13:01:00,15:00:00,5.54,5.45,-0.016245487364620947
2024-06-05,600732.SH,11.52,11.42,13:01:00,15:00:00,11.32,11.21,-0.009717314487632467
2024-06-05,600720.SH,9.95,10.0,13:01:00,15:00:00,9.91,9.79,-0.012108980827447158
2024-06-05,600719.SH,9.29,8.98,13:01:00,15:00:00,8.9,8.83,-0.00786516853932584
2024-06-05,600718.SH,8.02,8.1,13:01:00,15:00:00,8.14,8.09,-0.006142506142506221
2024-06-05,600717.SH,4.43,4.42,13:01:00,15:00:00,4.4,4.37,-0.006818181818181834
2024-06-05,600716.SH,2.83,2.83,13:01:00,15:00:00,2.78,2.75,-0.010791366906474753
2024-06-05,600715.SH,1.68,1.66,13:01:00,15:00:00,1.71,1.68,-0.01754385964912286
2024-06-05,600714.SH,7.98,7.97,13:01:00,15:00:00,7.79,7.71,-0.010269576379974388
2024-06-05,600731.SH,5.05,5.02,13:01:00,15:00:00,4.92,4.88,-0.008130081300813052
2024-06-05,600733.SH,7.01,7.08,13:01:00,15:00:00,7.1,7.05,-0.007042253521126751
2024-06-06,000001.SZ,10.87,10.9,13:01:00,15:00:00,10.94,10.9,-0.003656307129798808
2024-06-06,600722.SH,3.97,3.99,13:01:00,15:00:00,3.8,3.8,0.0
2024-06-06,600730.SH,4.32,4.32,13:01:00,15:00:00,4.01,3.97,-0.009975062344139585
2024-06-06,600729.SH,27.25,27.28,13:01:00,15:00:00,27.17,27.2,0.0011041589988958211
2024-06-06,600728.SH,3.92,3.93,13:01:00,15:00:00,3.76,3.72,-0.010638297872340274
2024-06-06,600727.SH,6.73,6.7,13:01:00,15:00:00,6.5,6.54,0.006153846153846176
2024-06-06,600726.SH,2.16,2.15,13:01:00,15:00:00,2.13,2.089999,-0.018779812206572655
2024-06-06,600725.SH,2.88,2.87,13:01:00,15:00:00,2.85,2.76,-0.03157894736842115
2024-06-06,600724.SH,4.0,4.01,13:01:00,15:00:00,3.98,4.4,0.1055276381909549
2024-06-06,600721.SH,5.45,5.45,13:01:00,15:00:00,5.2,5.15,-0.009615384615384581
2024-06-06,600732.SH,11.21,11.25,13:01:00,15:00:00,10.71,10.66,-0.004668534080298881
2024-06-06,600720.SH,9.79,9.82,13:01:00,15:00:00,9.61,9.61,0.0
2024-06-06,600719.SH,8.83,8.8,13:01:00,15:00:00,8.95,8.87,-0.00893854748603351
2024-06-06,600718.SH,8.09,8.09,13:01:00,15:00:00,7.71,7.62,-0.011673151750972721
2024-06-06,600717.SH,4.37,4.38,13:01:00,15:00:00,4.34,4.32,-0.004608294930875445
2024-06-06,600716.SH,2.75,2.76,13:01:00,15:00:00,2.66,2.66,0.0
2024-06-06,600715.SH,1.68,1.65,13:01:00,15:00:00,1.6,1.6,0.0
2024-06-06,600714.SH,7.71,7.79,13:01:00,15:00:00,7.37,7.45,0.01085481682496603
2024-06-06,600731.SH,4.88,4.86,13:01:00,15:00:00,4.7,4.68,-0.004255319148936287
2024-06-06,600733.SH,7.05,7.0,13:01:00,15:00:00,6.9,6.83,-0.010144927536231974
2024-06-07,000001.SZ,10.9,10.92,13:01:00,15:00:00,10.93,10.99,0.0054894784995425105
2024-06-07,600722.SH,3.8,3.81,13:01:00,15:00:00,3.88,3.94,0.015463917525773141
2024-06-07,600730.SH,3.97,4.01,13:01:00,15:00:00,4.01,4.05,0.009975062344139696
2024-06-07,600729.SH,27.2,27.07,13:01:00,15:00:00,27.1,27.3,0.007380073800737907
2024-06-07,600728.SH,3.72,3.76,13:01:00,15:00:00,3.75,3.78,0.008000000000000007
2024-06-07,600727.SH,6.54,6.49,13:01:00,15:00:00,6.52,6.57,0.0076687116564417845
2024-06-07,600726.SH,2.09,2.09,13:01:00,15:00:00,2.11,2.14,0.014218009478673022
2024-06-07,600725.SH,2.76,2.79,13:01:00,15:00:00,2.95,2.96,0.003389830508474523
2024-06-07,600724.SH,4.4,4.45,13:01:00,15:00:00,4.48,4.84,0.0803571428571428
2024-06-07,600721.SH,5.15,5.16,13:01:00,15:00:00,5.26,5.36,0.019011406844106515
2024-06-07,600732.SH,10.66,10.72,13:01:00,15:00:00,10.38,10.43,0.00481695568400764
2024-06-07,600720.SH,9.61,9.68,13:01:00,15:00:00,9.66,9.73,0.007246376811594235
2024-06-07,600719.SH,8.87,8.82,13:01:00,15:00:00,8.67,8.89,0.025374855824682907
2024-06-07,600718.SH,7.62,7.91,13:01:00,15:00:00,7.8,7.84,0.00512820512820511
2024-06-07,600717.SH,4.32,4.34,13:01:00,15:00:00,4.4,4.44,0.009090909090909038
2024-06-07,600716.SH,2.66,2.66,13:01:00,15:00:00,2.67,2.72,0.01872659176029967
2024-06-07,600715.SH,1.6,1.63,13:01:00,15:00:00,1.53,1.58,0.03267973856209161
2024-06-07,600714.SH,7.45,7.52,13:01:00,15:00:00,7.72,7.9,0.023316062176165886
2024-06-07,600731.SH,4.68,4.71,13:01:00,15:00:00,4.79,4.86,0.014613778705636848
2024-06-07,600733.SH,6.83,6.88,13:01:00,15:00:00,6.88,6.92,0.005813953488372103
