Date,high,low,spread,original
2023-03-02,-0.14315681979136105,-0.16513788297777363,-0.04309177159741885,-0.1818212305094126
2023-03-03,-0.2174809775255058,-0.2189206913727082,-0.1262224839835596,-0.24656327550095203
2023-03-06,-0.028237225636404375,0.03258646105466286,-0.0577698488202582,0.002181886148395872
2023-03-07,-0.26451795400724404,-0.2558003063876196,-0.14415086284205322,-0.2967616550389857
2023-03-08,0.1330110290787809,0.1765848212883627,0.03904112730987099,0.16356065667253852
2023-03-09,-0.06811955566879264,-0.003862918726267134,-0.08220850991065166,-0.038975207677598635
2023-03-10,-0.0481976506935803,0.011002005145450834,-0.04536529446202777,-0.020530508098371862
2023-03-13,0.12641285944170744,0.1257536525899586,0.07458746986094715,0.14971592580403353
2023-03-14,-0.06418196834108406,-0.09131118102886417,-0.014041750955063359,-0.07157569650846368
2023-03-15,-0.27951277525655505,-0.22661962375293876,-0.18875939392233768,-0.31910456089649436
2023-03-16,-0.10303941834996579,-0.17966573300993233,0.01084370532693887,-0.15033649729085796
2023-03-17,0.09033587926456746,-0.019177049850707974,0.1281419421749242,0.057771714958577434
2023-03-20,-0.06875737320478702,0.027768213340446272,-0.10338536923979409,-0.05007364725490934
2023-03-21,-0.012928961761881137,0.18816649191064463,-0.1364062713176281,0.06490248252230207
2023-03-22,-0.035570388341197585,-0.04181198775457456,0.025722426441867653,-0.05278881153910143
2023-03-23,0.04134569079246174,-0.04610897424403544,0.10833888666769104,0.013707529311656964
2023-03-24,-0.029680178358601646,0.0477736457572627,-0.06090616238499688,-0.016704458141931375
2023-03-27,0.07543244828634543,0.10548524047453754,0.007526872607046026,0.10067445698849936
2023-03-28,-0.22066947072472076,-0.20115614165525297,-0.14420708219109507,-0.23024334101034388
2023-03-29,0.1174655880056148,0.15936286816225967,0.0401671203153956,0.1423994800301747
2023-03-30,-0.14397084134205157,-0.08209014373591217,-0.13652269395831704,-0.11479986052110179
2023-03-31,0.07643273475121287,0.07579529770295806,0.05340440015143673,0.09305830727174533
2023-04-03,0.1594555679683174,0.11126694378849152,0.14884471351490597,0.1498604943145347
2023-04-04,0.040009744155368114,-0.07615334222474406,0.11693394962494479,-0.026264382883031366
2023-04-06,0.06330334314926551,0.08728797947233934,-0.010189016560808084,0.08066622793803932
2023-04-07,-0.013539080520182671,0.0771487334890459,-0.0673485014471811,0.03601417092608647
2023-04-10,-0.2032819081811027,-0.16437202709565413,-0.1495451548704394,-0.19872761612236134
2023-04-11,0.06863276704519179,0.018174510004601224,0.08656112491771939,0.05445413887131444
2023-04-12,0.10640379328728612,0.10994784866849246,0.06375605934836588,0.11927624681291055
2023-04-13,-0.1825502360266213,-0.18776224721481297,-0.1034426316092221,-0.20130288265138793
2023-04-14,0.007626120204160784,0.002379685312195375,0.01593706692909129,0.008018256678154916
2023-04-17,-0.30379982254944427,-0.3146838683611304,-0.1547948959523385,-0.3240977514898649
2023-04-18,-0.08426714033396615,-0.09164201946896305,-0.027328641454324343,-0.10079797649747461
