,cum_hl
2024-05-28,-0.014117419281346695
2024-05-29,-0.00967542497394195
2024-05-30,0.0009630420603848888
2024-05-31,0.015672343207763114
2024-06-03,0.0014349416080810824
2024-06-04,-0.026899941238825262
2024-06-05,-0.02738243042147733
2024-06-06,-0.07444313424974175
2024-06-07,-0.051453948304891514
2024-06-11,-0.02415266284315248
2024-06-12,-0.01028289372122595
2024-06-13,0.004677645101903747
2024-06-14,0.002801673624692908
2024-06-17,-0.0010475732360434187
2024-06-18,0.00956340864113512
2024-06-19,0.008718946315990055
2024-06-20,-0.0009928261419551339
2024-06-21,-0.009225890646784366
2024-06-24,-0.038870579786450324
2024-06-25,-0.03802672897328627
2024-06-26,-0.001953471582777512
2024-06-27,-0.007343477813980561
2024-06-28,-0.02462897077020315
2024-07-01,-0.0353401598819302
2024-07-02,-0.02149398648985334
2024-07-03,-0.01738709360215773
2024-07-04,-0.043263858442732644
2024-07-05,-0.03282570745509347
2024-07-08,-0.05805072499449471
2024-07-09,-0.062244074394580504
2024-07-10,-0.058923343242555076
2024-07-11,-0.029013629443018482
2024-07-12,-0.027054033763284923
2024-07-15,-0.04587980272581031
2024-07-16,-0.043523103489059724
2024-07-17,-0.033144888675639396
2024-07-18,-0.040024865607622015
2024-07-19,-0.019690175589629894
2024-07-22,-0.004051190786014135
2024-07-23,-0.004070538851556369
2024-07-24,-0.018671600007052577
2024-07-25,-0.001819754195990994
2024-07-26,0.006528003902160573
2024-07-29,0.003369824715629963
2024-07-30,0.01780065711661164
2024-07-31,0.04247085854004837
2024-08-01,0.0452911899532817
2024-08-02,0.04178117719679725
2024-08-05,0.038558967540251066
2024-08-06,0.061726446099362835
2024-08-07,0.057016535652509824
2024-08-08,0.05516293685611722
2024-08-09,0.04946110990743411
2024-08-12,0.04032696549896159
2024-08-13,0.041408131738682394
2024-08-14,0.04357023151492607
2024-08-15,0.047804615669254674
2024-08-16,0.04695124546468914
2024-08-19,0.039560746718667605
2024-08-20,0.031247394283259164
2024-08-21,0.033298460488366204
2024-08-22,0.020426944192953603
2024-08-23,0.01350858296514296
2024-08-26,0.02954502279140394
2024-08-27,0.023644549611259644
2024-08-28,0.030584258427302245
2024-08-29,0.049829299689497356
2024-08-30,0.07220815266555525
2024-09-02,0.055393062904150255
2024-09-03,0.06978757016254715
2024-09-04,0.0726754412435398
2024-09-05,0.0834653493143892
2024-09-06,0.06806675181331864
2024-09-09,0.0761996813392606
2024-09-10,0.08729806069507057
2024-09-11,0.09285113904516196
2024-09-12,0.09277142953926742
2024-09-13,0.07397109355975914
2024-09-18,0.06145917119717285
2024-09-19,0.08333211945408453
2024-09-20,0.07889956048659288
2024-09-23,0.08214756285669372
2024-09-24,0.09534036454136886
2024-09-25,0.10075342281700166
2024-09-26,0.11375555443215207
2024-09-27,0.14819613007715632
2024-09-30,0.19351054567030784
2024-10-08,0.23630752376120634
2024-10-09,0.22439467577670166
2024-10-10,0.24006248949411993
2024-10-11,0.23021129981294666
2024-10-14,0.23530732980226549
2024-10-15,0.23797290201312565
2024-10-16,0.23486923687185476
2024-10-17,0.2414893016813807
2024-10-18,0.2530118324845018
2024-10-21,0.25563266192469086
2024-10-22,0.28145627131495904
2024-10-23,0.2839596805644546
2024-10-24,0.2895907915016629
2024-10-25,0.30822638597530017
2024-10-28,0.31280169245193956
2024-10-29,0.30238185419750324
2024-10-30,0.2965882585703398
2024-10-31,0.3021341396777552
2024-11-01,0.3078783877057997
2024-11-04,0.32519267494209514
2024-11-05,0.32562172635878533
2024-11-06,0.3311795796320142
2024-11-07,0.3389042231896352
2024-11-08,0.35202396794392066
2024-11-11,0.3715799420911603
2024-11-12,0.389280512329727
2024-11-13,0.3989812570665273
2024-11-14,0.3989314566155058
2024-11-15,0.396831429548742
2024-11-18,0.388067660058627
2024-11-19,0.41225781240579823
2024-11-20,0.42015299434239056
2024-11-21,0.4253489136685894
2024-11-22,0.41617211870951354
2024-11-25,0.42860082289910556
2024-11-26,0.43474395037423597
2024-11-27,0.4411560121112309
2024-11-28,0.4417184404447972
2024-11-29,0.4510699213016459
2024-12-02,0.45966738126771856
2024-12-03,0.4605777929622543
2024-12-04,0.46055136683932285
2024-12-05,0.46840970607365023
2024-12-06,0.47336579392720873
2024-12-09,0.47547154280073717
2024-12-10,0.4800204234892024
2024-12-11,0.4798755802111085
2024-12-12,0.4813083077011394
2024-12-13,0.47796647106990714
2024-12-16,0.47646804452391206
2024-12-17,0.48213561173229513
2024-12-18,0.48180900412045025
2024-12-19,0.4833616266877747
2024-12-20,0.4899525123082114
2024-12-23,0.47902526144247853
2024-12-24,0.4751358202149152
2024-12-25,0.46639970790606683
2024-12-26,0.46284724561208634
2024-12-27,0.4761379601859973
2024-12-30,0.46367636911718757
2024-12-31,0.46338292422686367
2025-01-02,0.4717385248773193
2025-01-03,0.4593606363284037
2025-01-06,0.45801745823423434
2025-01-07,0.4730338789037884
2025-01-08,0.47069650435455324
2025-01-09,0.4823162447911103
2025-01-10,0.4726296303349368
2025-01-13,0.48896556699103233
2025-01-14,0.5032451803765956
2025-01-15,0.5059104733406521
2025-01-16,0.5124761871874417
2025-01-17,0.5049251452177428
2025-01-20,0.5055706895972955
2025-01-21,0.48627981276598625
2025-01-22,0.47823903810229107
2025-01-23,0.48644411106781654
2025-01-24,0.48382652749566546
2025-01-27,0.4844139589419191
2025-02-05,0.5127952560239674
2025-02-06,0.5137543352277558
2025-02-07,0.5271052240113537
2025-02-10,0.5466527501449991
2025-02-11,0.5398572358039089
2025-02-12,0.5401198536464021
2025-02-13,0.5559584755072893
2025-02-14,0.5488792114227834
2025-02-17,0.5508438143215335
2025-02-18,0.5491167363183493
2025-02-19,0.5327178737343169
2025-02-20,0.5301640853956092
2025-02-21,0.5135730035423808
2025-02-24,0.5194669892034346
2025-02-25,0.5184515328598353
2025-02-26,0.5147796116218828
2025-02-27,0.5228492985460966
2025-02-28,0.5382354969604107
2025-03-03,0.5462487326313882
2025-03-04,0.5454205785501155
2025-03-05,0.5329534758382641
2025-03-06,0.5363194851090557
2025-03-07,0.5233954516268703
2025-03-10,0.5349278527976216
2025-03-11,0.5342138324042025
2025-03-12,0.5312180952945782
2025-03-13,0.5340779523524429
2025-03-14,0.5509930402444881
2025-03-17,0.5572724788371748
2025-03-18,0.5542625561198581
2025-03-19,0.5527842646951759
2025-03-20,0.5471215763277851
2025-03-21,0.5523408392429162
2025-03-24,0.547273577657685
2025-03-25,0.5537307280995971
2025-03-26,0.5603404439669629
2025-03-27,0.566677614728208
2025-03-28,0.5645116255468535
2025-03-31,0.5577135995390087
2025-04-01,0.5600265596762346
2025-04-02,0.5623794486314285
2025-04-03,0.5709421027574022
2025-04-07,0.5335424654752006
2025-04-08,0.546118674189721
2025-04-09,0.5655608387161696
2025-04-10,0.5856148113532291
2025-04-11,0.6012826669809047
2025-04-14,0.6068780533848069
2025-04-15,0.6107858897093863
2025-04-16,0.601877882567328
2025-04-17,0.60121613984594
2025-04-18,0.6116934756100558
2025-04-21,0.6131207132467562
2025-04-22,0.6060172043726428
2025-04-23,0.6240116959462172
2025-04-24,0.6032774165263619
2025-04-25,0.61035480080319
2025-04-28,0.6023099041222584
2025-04-29,0.6071150245684841
2025-04-30,0.625953986451786
2025-05-06,0.6459494061472918
