TRADE_DT,rank_ic
2015-08-31,-0.2633789387738175
2015-09-01,-0.49975967555969264
2015-09-02,-0.34652671328499896
2015-09-07,0.43380749888251047
2015-09-08,0.5732097621499734
2015-09-09,0.5991727516324593
2015-09-10,-0.23540060531521628
2015-09-11,0.4639844415682526
2015-09-14,-0.555366439516313
2015-09-15,-0.4660604639227654
2015-09-16,0.6080533644437797
2015-09-17,-0.06608470797751588
2015-09-18,0.5329087095164493
2015-09-21,0.6322862821770329
2015-09-22,0.17697917025741453
2015-09-23,-0.08681028382644292
2015-09-24,0.3180023913390624
2015-09-25,-0.505294089162032
2015-09-28,0.5633307845495403
2015-09-29,-0.22948853447350206
2015-09-30,-0.03492318370506698
2015-10-08,0.4882640761700655
2015-10-09,0.19504275673032245
2015-10-12,0.3570386037484981
2015-10-13,0.21405402863985418
2015-10-14,-0.18378218688096873
2015-10-15,0.44343481534521345
2015-10-16,0.17674550323588184
2015-10-19,-0.06788840998302398
2015-10-20,0.20687557892129885
2015-10-21,-0.3861120060131822
2015-10-22,0.4688519949379158
