Return_Window,Bartime,Group,Sharpe_Ratio,Max_Drawdown,Annualized_Return
Ret_15,1970-01-01 11:29:00,group_2,-1.2131018878880593,-0.12856078760450995,-0.056421984612606384
Ret_15,1970-01-01 11:29:00,group_3,-1.191255288720081,-0.12973433722177918,-0.05765456872970933
Ret_15,1970-01-01 11:29:00,group_4,-1.0914077289546738,-0.1388857475056292,-0.05840439982422869
Ret_15,1970-01-01 11:29:00,group_HML,2.361535308771821,-0.0147106296766909,0.036445041662422614
Ret_15,1970-01-01 13:29:00,group_0,-1.0247910253107233,-0.139804201113786,-0.04517593498424236
Ret_15,1970-01-01 13:29:00,group_1,-1.0015623409351093,-0.12265231837975099,-0.03953741716118981
Ret_15,1970-01-01 13:29:00,group_2,-0.9332332203676992,-0.11891962336904427,-0.03639552390448105
Ret_15,1970-01-01 13:29:00,group_3,-0.9643372837143436,-0.12761461485160075,-0.039064882998019496
Ret_15,1970-01-01 13:29:00,group_4,-1.0141010449631935,-0.13968818519221327,-0.045214245144698476
Ret_15,1970-01-01 13:29:00,group_HML,-0.0036267656375519055,-0.018430899513173005,-3.8310160456151015e-05
Ret_15,1970-01-01 13:59:00,group_0,-1.2123462870741084,-0.17459827851418863,-0.05676172861836553
Ret_15,1970-01-01 13:59:00,group_1,-1.2596688096815547,-0.15342582604410493,-0.053470572045657305
Ret_15,1970-01-01 13:59:00,group_2,-1.114306639395125,-0.1487798590500783,-0.04753505012094016
Ret_15,1970-01-01 13:59:00,group_3,-1.2591485258646737,-0.16532199877913034,-0.05489206715794544
Ret_15,1970-01-01 13:59:00,group_4,-1.2885629804382825,-0.17469097379065956,-0.060289547236815774
Ret_15,1970-01-01 13:59:00,group_HML,-0.3487242793562963,-0.013390941682413171,-0.0035278186184502206
Ret_15,1970-01-01 14:29:00,group_0,-2.0623391096536183,-0.20731582328385,-0.10067398406921373
Ret_15,1970-01-01 14:29:00,group_1,-1.1088398314120018,-0.10956413226201345,-0.04784713842045903
Ret_15,1970-01-01 14:29:00,group_2,-1.0467217851729933,-0.10736378380556277,-0.045408175086973576
Ret_15,1970-01-01 14:29:00,group_3,-1.105396829764994,-0.11451531639790646,-0.04977928682819085
Ret_15,1970-01-01 14:29:00,group_4,-1.545550000044492,-0.17161136557608914,-0.07777517524978446
Ret_15,1970-01-01 14:29:00,group_HML,2.2774769428240202,-0.010408230996026058,0.022898808819429274
Ret_30,1970-01-01 09:59:00,group_0,1.0001488397238336,-0.09614972328420024,0.07813528523175915
Ret_30,1970-01-01 09:59:00,group_1,0.6060089680972988,-0.1028341846928863,0.04353514238460464
Ret_30,1970-01-01 09:59:00,group_2,0.3862069999589562,-0.10526466368689535,0.02784723029514777
Ret_30,1970-01-01 09:59:00,group_3,0.3442151145068571,-0.11801226692561118,0.02568092958190314
Ret_30,1970-01-01 09:59:00,group_4,0.5553450198343556,-0.1265635928351373,0.04476082351345081
Ret_30,1970-01-01 09:59:00,group_HML,-1.24395115431767,-0.06926939278827138,-0.03337446171830831
Ret_30,1970-01-01 10:29:00,group_0,0.7123416892988291,-0.07586058529039763,0.044867730078543215
Ret_30,1970-01-01 10:29:00,group_1,0.6876393718123119,-0.06469763608264778,0.03877638591137282
Ret_30,1970-01-01 10:29:00,group_2,0.6278469406478455,-0.06840143666634324,0.0360748140646288
Ret_30,1970-01-01 10:29:00,group_3,0.8070273044801467,-0.06609059722648125,0.048256922333158994
Ret_30,1970-01-01 10:29:00,group_4,1.0555480931816419,-0.07338624255584092,0.0717531509287178
Ret_30,1970-01-01 10:29:00,group_HML,1.2866001955582933,-0.018929100298588963,0.026885420850174594
Ret_30,1970-01-01 10:59:00,group_0,1.4620092201747388,-0.05954901143827618,0.1052885659728686
