symbol,TradeDate,legacy_value,strict_value,abs_diff
301498.SZ,2023-08-18,0.07432977511169572,0.3623995062726864,0.28806973116099066
301558.SZ,2023-10-10,0.02379198346973086,0.3117664621032716,0.2879744786335407
000915.SZ,2023-06-06,0.48005922649793653,0.19253929704771122,0.2875199294502253
002435.SZ,2024-05-06,0.28408938102068976,0.0,0.28408938102068976
000628.SZ,2023-10-23,0.04485803471804411,0.32841341219750425,0.28355537747946014
002435.SZ,2024-05-07,0.282765539579545,0.0,0.282765539579545
001311.SZ,2023-02-28,0.2782192459934685,0.558904761583527,0.2806855155900585
301558.SZ,2023-10-11,0.0505100093577969,0.3298503411433995,0.2793403317856026
002930.SZ,2024-02-20,0.39279368845733237,0.11362585305246467,0.27916783540486767
002975.SZ,2024-02-27,0.027493016685153707,0.30612244897959184,0.27862943229443815
002610.SZ,2024-05-13,0.3440372499561334,0.06608713866778383,0.27795011128834957
001376.SZ,2023-11-09,0.005465718589162083,0.2817202672894896,0.27625454870032756
002610.SZ,2024-06-17,0.276153209658916,0.0,0.276153209658916
000615.SZ,2023-12-28,0.11571103598185575,0.39145704018294675,0.27574600420109097
000982.SZ,2024-06-20,0.4243128500125586,0.14882904361378463,0.27548380639877396
000982.SZ,2024-06-13,0.3589193101686332,0.08436474237359592,0.2745545677950373
002243.SZ,2024-06-20,0.13480097815734013,0.40826651339339065,0.27346553523605055
301558.SZ,2023-10-09,0.015091082899874299,0.2875879682817056,0.27249688538183126
301180.SZ,2024-05-31,0.08830893832929118,0.36060817458414546,0.2722992362548543
003040.SZ,2023-10-17,0.11421632590979237,0.38612284996008395,0.2719065240502916
002232.SZ,2023-10-30,0.1156002323699545,0.38552577516150477,0.2699255427915503
002741.SZ,2024-03-01,0.12432701365154653,0.39335842260788556,0.26903140895633904
002610.SZ,2024-05-22,0.37618654027512277,0.10763573850341436,0.2685508017717084
000982.SZ,2024-06-21,0.3658099796634506,0.09768934433203229,0.2681206353314183
300662.SZ,2023-03-23,0.384139957137316,0.11766500680256302,0.266474950334753
000712.SZ,2023-08-28,0.06268078828430974,0.3287925981326535,0.26611180984834376
003006.SZ,2023-05-08,0.386233191582341,0.12144715444523702,0.26478603713710397
002866.SZ,2023-07-24,0.1484337449137966,0.41284435864538294,0.26441061373158636
000628.SZ,2023-10-27,0.04155206341156049,0.30591680821605893,0.26436474480449845
301325.SZ,2023-05-17,0.16176033332794384,0.42596991026049436,0.26420957693255054
002088.SZ,2023-05-19,0.424354495996851,0.16135652302977765,0.26299797296707333
000546.SZ,2023-09-27,0.12515089415127445,0.3878681437449338,0.26271724959365933
001376.SZ,2023-11-06,0.009036450996363092,0.2716674865869723,0.26263103559060924
001287.SZ,2023-04-11,0.021413544943278198,0.28376750861165917,0.262353963668381
001376.SZ,2023-11-07,0.0015195481552006378,0.2633787749254566,0.26185922677025597
002435.SZ,2024-05-13,0.2616652436188671,0.0,0.2616652436188671
002435.SZ,2024-05-10,0.25968855768547,0.0,0.25968855768547
301325.SZ,2023-05-18,0.13985068614245724,0.3992719271793874,0.2594212410369302
301511.SZ,2023-08-23,0.08106385913380607,0.3399540869366227,0.2588902278028167
000615.SZ,2023-05-18,0.25863602042931805,0.0,0.25863602042931805
002636.SZ,2024-03-28,0.10924169209130268,0.3674095832804679,0.2581678911891652
002960.SZ,2023-03-31,0.5231033271815555,0.2650367217744241,0.2580666054071314
003009.SZ,2023-10-16,0.12540345432122607,0.3834615962238983,0.25805814190267223
000982.SZ,2024-06-17,0.34942252274868046,0.09138716768610573,0.25803535506257474
000710.SZ,2023-11-22,0.07106455176197682,0.3274687493890387,0.2564041976270619
002002.SZ,2024-01-15,0.36419317924799294,0.10821475547052493,0.255978423777468
002158.SZ,2023-08-25,0.43426665408188386,0.1782928502115764,0.25597380387030744
002435.SZ,2024-06-11,0.21851494130827334,0.47364034173786207,0.25512540042958876
301291.SZ,2023-07-04,0.06102333730322329,0.3154332060205284,0.2544098687173051
002641.SZ,2024-01-12,0.046245340218019244,0.30055112502844883,0.2543057848104296
300573.SZ,2024-03-15,0.14597321272186795,0.3997828776996173,0.25380966497774937
000737.SZ,2024-03-14,0.1069909759130123,0.36045050638378434,0.253459530470772
002610.SZ,2024-05-06,0.35906340822428257,0.10571229007865407,0.2533511181456285
000976.SZ,2023-05-18,0.24541562093235253,0.498483204598527,0.2530675836661745
002435.SZ,2024-05-23,0.2530546965436489,0.0,0.2530546965436489
001287.SZ,2023-04-14,0.07155342761879353,0.32440874493389443,0.2528553173151009
002435.SZ,2024-06-03,0.25284524066381736,0.0,0.25284524066381736
002664.SZ,2023-08-01,0.37905152895200317,0.12677217919343226,0.2522793497585709
301348.SZ,2023-08-14,0.07021550113466507,0.3222105439436744,0.2519950428090093
002435.SZ,2024-05-28,0.24268966467200528,0.492379835873388,0.24969017120138273
002096.SZ,2023-08-10,0.35178810249861847,0.10268311938358374,0.24910498311503473
002975.SZ,2024-02-26,0.050591573683038134,0.29878483041039794,0.2481932567273598
300423.SZ,2024-05-30,0.13485844276265796,0.3825992786531629,0.24774083589050494
301511.SZ,2024-04-09,0.14454559685996826,0.39142996711256395,0.2468843702525957
002023.SZ,2023-07-14,0.13744311708947593,0.3834658204302876,0.24602270334081167
002194.SZ,2023-09-14,0.10050737259656115,0.34632895745127096,0.2458215848547098
300741.SZ,2024-04-09,0.3063231173281692,0.06079624550358733,0.24552687182458185
002636.SZ,2023-09-01,0.33067807066016847,0.08522219588767327,0.2454558747724952
000615.SZ,2023-05-17,0.24540802579382237,0.0,0.24540802579382237
