Date,bottom10_gross,top10_gross,long_short_gross,bottom10_net,top10_net,long_short_net,csi300
2025-03-18,-0.0030924566060640786,-0.00572188235688874,0.0026294257508246615,-0.0032924566060640787,-0.00590188235688874,0.0022494257508246618,0.0027360222995087558
2025-03-19,-0.0037719006141202203,-0.00809070630350816,0.004318805689387936,-0.00397190061412022,-0.00829070630350816,0.003918805689387936,0.0006100970703337705
2025-03-20,-0.005793944836390463,-0.0064949722062007656,0.0007010273698103036,-0.005973944836390462,-0.006694972206200765,0.00032102736981030373,-0.008771752205892658
2025-03-21,-0.008474970688600593,-0.01044684896454199,0.0019718782759413902,-0.008674970688600594,-0.01064684896454199,0.0015718782759413905,-0.015168886637703216
2025-03-24,-0.015890363443268288,-0.01404036259907392,-0.0018500008441943716,-0.016070363443268287,-0.01424036259907392,-0.0022300008441943713,0.005148037563891261
2025-03-25,0.007194103812192121,-0.0002535837723457189,0.007447687584537839,0.007034103812192121,-0.0004335837723457188,0.007107687584537839,-0.0006489449174740258
2025-03-26,-0.011528021394403589,-0.005404202314109986,-0.006123819080293609,-0.011708021394403589,-0.005584202314109985,-0.0064838190802936095,-0.00329031765698351
2025-03-27,-0.0048864371396880255,-0.0037776082000859895,-0.0011088289396020356,-0.005086437139688025,-0.003977608200085989,-0.0015088289396020353,0.003330929367335367
2025-03-28,0.004129137860995977,-0.003416368448584282,0.007545506309580262,0.003949137860995978,-0.003596368448584282,0.007185506309580262,-0.004385476729204085
2025-03-31,-0.010178283790518758,-0.009146796775432389,-0.001031487015086371,-0.010378283790518758,-0.00934679677543239,-0.0014314870150863707,-0.007116070832446364
2025-04-01,-0.0034928187629565516,-0.001455317464781231,-0.0020375012981753205,-0.0036928187629565517,-0.001655317464781231,-0.0024375012981753203,9.736821308825583e-05
2025-04-02,0.0014939382769304395,0.013413574715781586,-0.011919636438851145,0.0013139382769304397,0.013233574715781586,-0.012279636438851145,-0.0008483971215664798
2025-04-03,-0.013689298928048411,-0.01433482980875513,0.0006455308807067162,-0.013889298928048412,-0.01449482980875513,0.0002855308807067163,-0.005890866967951491
2025-04-07,-0.062376985197780455,-0.05821692196204027,-0.004160063235740169,-0.06257698519778046,-0.05841692196204027,-0.004560063235740169,-0.07045514967046262
2025-04-08,-0.02864903441291411,-0.007957160635138565,-0.02069187377777555,-0.02880903441291411,-0.008157160635138565,-0.021051873777775548,0.017082996163803488
2025-04-09,-0.022178716836097002,0.0009075437570357461,-0.023086260593132752,-0.022378716836097,0.0007275437570357461,-0.02346626059313275,0.009870632380828193
2025-04-10,0.09343121554869528,0.035127294149243836,0.058303921399451474,0.09323121554869528,0.034947294149243836,0.057923921399451475,0.013106454027012049
2025-04-11,-0.01914224424618219,-0.004850464630716697,-0.014291779615465496,-0.019342244246182187,-0.005050464630716697,-0.014691779615465495,0.00412346061303448
2025-04-14,0.03327674389694175,0.02008132382363749,0.013195420073304265,0.03307674389694175,0.01992132382363749,0.012835420073304266,0.0022998164492906703
2025-04-15,-0.008495186517043228,-0.014965930606088737,0.006470744089045507,-0.008695186517043228,-0.015165930606088738,0.0060707440890455065,0.0005566695508354425
2025-04-16,-0.00907738947007469,-0.008897562400780526,-0.0001798270692941633,-0.00927738947007469,-0.009097562400780527,-0.0005798270692941631,0.003080265023603479
2025-04-17,-0.007597493083319905,-0.008057138451130335,0.0004596453678104321,-0.007777493083319905,-0.008257138451130335,7.964536781043227e-05,-0.00015858162768633832
2025-04-18,0.004838452675129524,-0.00019623590952743206,0.0050346885846569555,0.004678452675129525,-0.000336235909527432,0.004734688584656956,7.976730744463367e-05
2025-04-21,0.002689025439435571,0.0009231418589568579,0.001765883580478713,0.002509025439435571,0.0007231418589568581,0.0013858835804787131,0.003275685794360994
2025-04-22,0.015876427192006003,0.007690292490742486,0.008186134701263519,0.015696427192006004,0.007510292490742487,0.00782613470126352,-0.00024529175372134393
2025-04-23,0.01000291775683836,0.0013085141233174563,0.008694403633520904,0.00986291775683836,0.0011485141233174563,0.008394403633520904,0.0007743755325448909
2025-04-24,-0.004121544965741957,-0.007496715164279868,0.003375170198537912,-0.004321544965741957,-0.007676715164279867,0.0029951701985379124,-0.0006667753928667475
2025-04-25,-0.0028421793759579113,-0.0028692924058205675,2.7113029862654744e-05,-0.0030421793759579114,-0.0030692924058205676,-0.00037288697013734503,0.0006966308203342209
2025-04-28,-0.00944888067914869,-0.0035687169075271185,-0.005880163771621572,-0.00960888067914869,-0.0037687169075271186,-0.006240163771621572,-0.001419305239403923
