factor_id,month,rank_ic_mean,rank_ic_std,n_days,icir,negative_ic_day_share
mid_trade_amount_share_abs_4w20w,2026-07,-0.1539403679032662,0.22217473176440003,23,-10.9553904387025,0.782608695652174
mid_trade_amount_share_adv20,2023-01,0.057093640840934684,0.07550654575899352,15,11.955648556963691,0.3333333333333333
mid_trade_amount_share_adv20,2023-02,0.037838626006366276,0.09008850558860637,20,6.641038217340095,0.3
mid_trade_amount_share_adv20,2023-03,0.006748405795664374,0.12452561967921073,23,0.8568651553132156,0.4782608695652174
mid_trade_amount_share_adv20,2023-04,0.0018480705305751305,0.17907675344952442,19,0.16317338908259002,0.5789473684210527
mid_trade_amount_share_adv20,2023-05,0.03879061573086996,0.1536792930874868,20,3.990996284713332,0.35
mid_trade_amount_share_adv20,2023-06,-0.004614179830471946,0.1670193313767043,20,-0.4368152380214874,0.5
mid_trade_amount_share_adv20,2023-07,0.11918688179760743,0.1727387217599485,21,10.90959831859461,0.38095238095238093
mid_trade_amount_share_adv20,2023-08,-0.014489996271792625,0.14934567049447772,23,-1.534071639120842,0.43478260869565216
mid_trade_amount_share_adv20,2023-09,0.03665513320334664,0.12447859624062675,20,4.655969474276891,0.3
